지점,지점명,일시,기온(°C),지면온도(°C)
203,이천,2021-12-21 13:00,11.4,11.6
203,이천,2021-12-21 14:00,11.6,11.2
203,이천,2021-12-21 15:00,11,9.9
203,이천,2021-12-21 16:00,10.6,7.1
203,이천,2021-12-21 17:00,8.6,4.4
203,이천,2021-12-21 18:00,6.9,2.3
203,이천,2021-12-21 19:00,6,1.4
203,이천,2021-12-21 20:00,4.4,.5
203,이천,2021-12-21 21:00,3.9,.4
203,이천,2021-12-21 22:00,3.3,.1
203,이천,2021-12-21 23:00,2.3,-.1
203,이천,2021-12-22 00:00,2,-.2
